time (min),track_id,pos_x (micron),pos_y (micron),flux (mmol/gdw/h),flux_err (mmol/gdw/h),flux_low (mmol/gdw/h),flux_high (mmol/gdw/h)
9.44,1,60.29,5.93,2.83455,3,-0.565445,9.53455
9.44,3,180,8.08,0.182521,1.95,-2.21748,5.18252
9.44,0,262.21,11.43,4.49467,2.6,0.594671,10.2947
9.44,4,124.79,12.24,0.164879,2.3,-2.23512,6.06488
9.44,5,306.94,16.9,20.2054,2.95,15.3054,26.5054
9.44,Untracked,103.35,20.01,0.516575,2.65,-1.98342,7.51658
9.44,6,157.14,27.62,2.84042,2.25,0.840416,8.14042
9.44,7,245.84,34.03,0.217053,2.45,-2.98295,5.51705
9.44,10,11.66,43.02,2.0113,2.7,-1.8887,8.1113
9.44,8,145.43,43.63,1.95341,1.9,0.353406,6.95341
9.44,12,84.36,44.64,1.73332,2.4,-0.466679,7.53332
9.44,11,213.77,46.34,-1.60447,1.4,-3.40447,2.19553
9.44,13,108.78,47.92,-0.497795,2.1,-2.19779,4.90221
9.44,9,258.07,48.86,-1.46246,2.25,-4.76246,3.43754
9.44,14,64.57,53.12,-0.6632,2.45,-3.1632,4.9368
9.44,15,24.39,54.15,6.15753,2.45,2.65753,11.6575
9.44,17,245.23,55.24,3.24859,2.25,0.248592,8.24859
9.44,20,124.9,60.44,0.851788,1.6,-0.348212,5.35179
9.44,18,15.6,61.94,2.46677,2.2,-0.533232,7.96677
9.44,19,223.7,65.23,-0.685539,1.85,-2.98554,3.71446
9.44,21,319.78,73.39,8.53034,2.1,6.13034,13.7303
9.44,22,143.42,86.17,-2.10546,1.05,-2.50546,2.09454
9.44,24,20.14,89.73,-0.812462,1.15,-2.01246,2.78754
9.44,29,84.34,90.72,2.24601,2,0.546012,7.34601
9.44,25,253.57,92.25,2.32356,1.95,-0.176436,6.92356
9.44,23,340.82,96.92,-6.50024,1.45,-7.50024,-1.50024
9.44,34,81.87,108.45,0.756706,1.95,-0.943294,5.75671
9.44,26,127.66,111.22,-0.359495,1.2,-0.959495,4.04051
9.44,28,226.3,111.65,-0.871694,1.45,-2.17169,3.22831
9.44,32,112.44,117.38,-2.41005,1.45,-3.41005,2.08995
9.44,30,26.98,117.64,-5.87672,1.8,-7.77672,-0.776725
9.44,Untracked,70.04,117.63,-0.154461,2.25,-2.25446,5.84554
9.44,31,41.22,120.68,-1.37645,2.15,-4.17645,4.02355
9.44,Untracked,438.96,120.61,1.87922,2.8,-2.42078,8.67922
9.44,33,199.83,122.2,-1.06578,1,-1.46578,2.93422
9.44,37,100.23,129.35,-0.683383,1.15,-1.68338,3.31662
9.44,36,137.87,129.25,-2.68503,1.3,-3.48503,1.61497
9.44,38,163.31,134.82,-0.68414,1.15,-1.58414,3.11586
9.44,41,19.95,140.01,3.88916,2.1,0.889159,9.18916
9.44,39,250.3,144.25,-7.47403,1.6,-9.47403,-3.57403
9.44,42,225.24,144.78,0.355667,1.25,-0.744333,3.95567
9.44,40,263.05,145.35,1.89723,1.2,0.397226,5.19723
9.44,43,158.05,151.44,1.547,1.15,0.346997,5.047
9.44,44,86.14,152.58,-0.0194541,1.75,-2.01945,4.68055
9.44,47,28.93,154.62,0.720996,2.05,-2.179,5.721
9.44,45,210.09,155.26,2.19184,1.05,1.19184,5.39184
9.44,49,191.44,155.98,-1.61532,1.1,-2.51532,1.88468
9.44,52,109.48,157.82,0.992101,1.75,-0.807899,5.4921
9.44,48,351.41,157.81,1.49477,2.3,-2.50523,6.29477
9.44,51,332.8,160.81,-0.0611846,2.15,-3.76118,4.53882
9.44,46,240.84,161.04,1.14572,1.5,-0.654284,4.94572
9.44,56,129.81,162.38,-0.302974,1.7,-2.00297,3.89703
9.44,55,217.63,163.04,-0.101325,1,-1.00132,2.99868
9.44,53,42.58,164.89,0.451449,2.3,-2.84855,5.75145
9.44,Untracked,76.46,166.48,0.560787,2.3,-2.03921,6.46079
9.44,54,263.32,168.82,2.71594,1.4,0.815936,6.21594
9.44,61,37.35,180.37,1.59735,2.15,-1.30265,6.69735
9.44,Untracked,188.66,181.7,-1.56487,1.5,-3.36487,2.43513
9.44,59,22.28,182.09,-5.85649,1.6,-7.35649,-0.95649
9.44,63,65.95,183.41,-0.713251,2.25,-3.81325,4.38675
9.44,57,250.22,184.62,-7.68654,1.7,-10.2865,-3.68654
9.44,58,201.36,185.02,-3.65609,1.55,-5.55609,0.143905
