time,pos_x (micron),pos_y (micron),pH,pH_err
9.44,387.48,0.94,6.352,0.61
9.44,340.28,1.44,6.262,0.6
9.44,364.67,1.42,6.207,0.611
9.44,103.13,2.7,6.47,0.621
9.44,190.2,2.6,6.772,0.628
9.44,197.03,2.76,6.238,0.608
9.44,223.87,3.98,6.658,0.647
9.44,271.54,3.86,5.509,0.532
9.44,222.64,6.57,6.902,0.597
9.44,266.17,6.64,6.135,0.599
9.44,367.48,7.16,5.94,0.593
9.44,386.56,7.71,6.233,0.609
9.44,136.92,8.03,6.262,0.6
9.44,2.98,9.35,6.655,0.647
9.44,266.22,9.29,5.596,0.56
9.44,409.85,9.55,6.577,0.64
9.44,266.32,12.64,6.421,0.611
9.44,219.98,13.7,6.749,0.633
9.44,370.58,13.86,6.224,0.61
9.44,357.63,13.98,6.215,0.61
9.44,134.08,14.47,6.561,0.637
9.44,343.98,15.66,6.003,0.592
9.44,218.93,17.1,6.038,0.589
9.44,283.18,18.63,5.61,0.564
9.44,424.85,19.52,6.173,0.609
9.44,188.25,21.98,6.112,0.595
9.44,374.66,21.89,5.943,0.593
9.44,384.22,23.51,6.579,0.641
9.44,216.96,24.44,6.32,0.607
9.44,366.0,27.72,6.25,0.603
9.44,138.71,28.17,6.353,0.61
9.44,284.03,29.95,6.122,0.597
9.44,59.68,30.79,6.258,0.601
9.44,380.11,33.5,6.254,0.602
9.44,412.32,35.48,6.54,0.634
9.44,383.18,36.61,5.837,0.588
9.44,367.54,38.43,6.049,0.59
9.44,28.62,42.25,5.95,0.593
9.44,202.71,42.24,6.929,0.593
9.44,203.21,45.57,6.322,0.607
9.44,267.8,46.09,6.214,0.61
9.44,124.96,49.3,6.301,0.602
9.44,343.54,50.24,6.119,0.596
9.44,207.93,55.19,6.671,0.645
9.44,268.36,56.86,6.343,0.61
9.44,129.93,59.67,6.439,0.613
9.44,206.43,61.43,6.353,0.61
9.44,8.54,63.26,6.364,0.611
9.44,415.73,63.27,5.766,0.584
9.44,184.57,66.1,6.231,0.61
9.44,74.07,66.66,6.341,0.61
9.44,277.82,67.98,6.323,0.607
9.44,184.27,70.51,6.528,0.634
9.44,286.07,70.61,5.468,0.516
9.44,354.44,70.86,6.013,0.592
9.44,137.03,71.37,6.508,0.631
9.44,377.53,71.39,5.884,0.59
9.44,75.03,73.22,6.648,0.647
9.44,183.97,74.54,6.324,0.607
9.44,286.66,75.99,6.627,0.647
9.44,376.23,76.28,6.23,0.61
9.44,273.77,77.41,5.654,0.576
9.44,95.47,77.94,6.288,0.601
9.44,401.79,78.97,5.894,0.59
9.44,434.82,79.21,6.15,0.603
9.44,377.13,81.02,6.575,0.64
9.44,104.35,82.59,6.244,0.606
9.44,199.85,82.46,6.52,0.633
9.44,10.07,83.0,6.143,0.601
9.44,269.84,85.84,6.139,0.6
9.44,269.95,89.56,6.26,0.6
9.44,10.75,89.88,6.515,0.632
9.44,166.04,90.01,6.787,0.625
9.44,336.26,90.15,7.065,0.687
9.44,181.8,92.21,7.333,2.759
9.44,11.03,92.72,6.949,0.601
9.44,270.17,92.73,6.156,0.604
9.44,124.96,93.75,7.101,0.872
9.44,419.77,94.79,6.186,0.611
9.44,274.33,95.2,6.672,0.645
9.44,11.26,97.41,7.308,2.645
9.44,369.5,97.8,6.787,0.625
9.44,410.9,98.13,6.492,0.626
9.44,145.39,100.3,7.665,4.037
9.44,11.52,101.33,6.937,0.596
9.44,270.62,102.82,7.113,1.053
9.44,144.4,104.3,7.491,3.405
9.44,212.31,111.64,7.115,1.116
9.44,422.1,112.16,6.87,0.599
9.44,162.37,113.97,7.225,2.07
9.44,274.9,114.92,6.6,0.644
9.44,378.49,115.71,6.311,0.605
9.44,422.44,115.45,6.626,0.647
9.44,419.47,116.29,6.228,0.61
9.44,388.26,117.8,6.299,0.602
9.44,289.02,120.14,7.203,1.889
9.44,275.3,124.34,6.584,0.641
9.44,182.09,124.54,7.23,2.115
9.44,271.91,126.34,6.982,0.618
9.44,360.46,130.53,6.915,0.597
9.44,426.91,131.41,6.15,0.603
9.44,424.23,131.61,5.993,0.593
9.44,197.13,132.68,7.21,1.95
9.44,368.44,133.4,5.878,0.59
9.44,98.16,134.35,6.925,0.594
9.44,272.66,142.46,6.702,0.641
9.44,396.11,143.04,6.741,0.634
9.44,177.66,143.29,7.108,0.934
9.44,275.86,147.76,6.359,0.61
9.44,217.8,148.78,6.517,0.632
9.44,339.42,149.22,6.259,0.6
9.44,16.16,149.64,6.051,0.59
9.44,272.94,153.27,6.662,0.646
9.44,16.59,153.64,6.305,0.603
9.44,439.37,158.89,6.629,0.647
9.44,401.24,160.03,7.107,0.922
9.44,210.05,163.74,7.109,0.954
9.44,151.18,164.18,7.112,1.021
9.44,274.08,164.5,6.582,0.641
9.44,17.48,164.9,6.42,0.611
9.44,168.39,165.5,6.903,0.597
9.44,220.08,165.61,7.006,0.63
9.44,274.38,167.6,6.649,0.647
9.44,274.31,171.95,7.389,3.013
9.44,404.86,172.89,6.602,0.644
9.44,17.91,173.64,6.843,0.607
9.44,275.21,178.17,7.438,3.203
9.44,406.61,178.73,6.243,0.606
9.44,292.56,181.29,7.35,2.842
9.44,5.57,182.36,6.18,0.61
9.44,318.72,182.39,6.958,0.605
9.44,153.06,184.48,6.798,0.622
9.44,317.71,187.85,7.114,1.076
9.44,120.59,195.21,6.689,0.643
9.44,307.65,194.98,6.251,0.603
9.44,276.13,198.72,7.215,1.987
9.44,45.16,203.18,5.716,0.581
9.44,161.86,203.33,6.798,0.622
9.44,225.15,203.31,6.294,0.601
9.44,414.35,205.09,6.521,0.633
9.44,162.44,207.49,6.933,0.594
9.44,415.07,208.19,6.252,0.603
9.44,261.12,210.52,6.433,0.612
9.44,77.93,215.08,6.958,0.605
9.44,77.62,218.05,7.173,1.595
9.44,392.86,221.0,6.361,0.611
9.44,45.16,221.95,5.305,0.46
9.44,392.56,224.09,6.164,0.606
9.44,44.81,224.91,6.363,0.611
9.44,419.84,225.1,6.217,0.61
9.44,419.5,228.19,5.864,0.589
9.44,276.56,232.41,6.513,0.632
9.44,314.13,236.3,6.552,0.635
9.44,278.43,240.67,6.952,0.602
9.44,277.64,247.55,6.28,0.6
9.44,425.63,248.81,6.076,0.591
9.44,420.4,252.05,6.362,0.611
9.44,277.47,253.29,6.832,0.61
9.44,379.95,253.91,6.237,0.608
9.44,305.45,254.35,7.146,1.396
9.44,405.43,255.46,6.092,0.593
9.44,232.04,257.8,7.095,0.827
9.44,141.97,258.56,7.592,3.77
9.44,277.68,259.74,7.382,2.986
9.44,429.64,261.55,6.95,0.601
9.44,232.61,262.45,7.124,1.213
9.44,144.18,264.22,7.244,2.232
9.44,261.73,264.26,7.102,0.875
9.44,277.65,264.25,6.626,0.647
9.44,278.22,267.3,6.457,0.617
9.44,278.16,270.21,6.607,0.645
9.44,146.95,271.48,7.445,3.231
9.44,278.93,273.74,6.648,0.647
9.44,347.62,274.94,5.873,0.589
9.44,433.41,275.1,6.227,0.61
9.44,278.07,278.07,7.336,2.774
9.44,72.01,278.35,6.503,0.629
9.44,299.76,287.19,7.391,3.023
9.44,391.22,290.83,6.067,0.59
9.44,279.1,292.39,6.87,0.599
9.44,298.33,293.62,7.494,3.417
9.44,439.25,295.06,6.919,0.596
9.44,274.17,297.63,7.059,0.681
9.44,296.96,299.62,6.795,0.623
9.44,296.52,302.44,6.754,0.632
9.44,163.14,302.5,7.299,2.606
9.44,175.74,303.0,7.226,2.082
9.44,221.35,304.43,6.547,0.635
9.44,293.65,314.59,6.898,0.598
9.44,171.53,317.43,7.27,2.443
9.44,280.63,317.91,7.114,1.075
9.44,406.26,320.62,6.593,0.643
9.44,280.85,323.39,6.987,0.62
9.44,406.44,323.65,6.382,0.612
9.44,340.04,326.3,6.454,0.616
9.44,248.18,328.67,7.064,0.686
9.44,159.87,329.82,7.524,3.523
9.44,281.23,329.67,7.028,0.649
9.44,313.04,330.68,7.214,1.98
9.44,123.4,331.73,7.078,0.731
9.44,281.58,335.36,7.076,0.72
9.44,281.87,339.55,7.206,1.92
9.44,398.75,339.76,6.322,0.607
9.44,180.62,339.99,7.331,2.744
9.44,181.14,343.17,7.191,1.766
9.44,400.6,343.04,5.731,0.582
9.44,281.73,345.74,6.315,0.605
9.44,166.52,347.37,6.998,0.625
9.44,282.62,351.53,6.275,0.599
9.44,157.12,357.6,6.159,0.605
9.44,182.93,357.42,6.862,0.602
9.44,172.79,359.67,7.023,0.644
9.44,167.92,361.69,6.172,0.608
9.44,156.57,362.08,6.388,0.612
9.44,334.18,363.78,6.403,0.611
9.44,282.83,365.62,6.233,0.609
9.44,168.55,366.47,5.69,0.58
9.44,402.54,366.36,5.649,0.574
9.44,220.56,369.84,5.66,0.576
9.44,71.98,370.55,6.434,0.612
9.44,168.76,370.44,6.747,0.633
9.44,110.54,372.92,6.461,0.618
9.44,71.91,373.19,6.384,0.612
9.44,169.48,374.57,6.746,0.633
9.44,271.31,376.85,5.895,0.591
9.44,414.43,381.94,5.914,0.591
9.44,186.52,382.03,7.137,1.329
9.44,95.9,384.69,6.215,0.61
9.44,297.97,392.63,6.251,0.603
9.44,188.74,396.63,6.042,0.589
9.44,37.13,396.72,6.781,0.626
9.44,427.19,396.88,6.536,0.634
9.44,37.72,404.24,6.7,0.641
9.44,252.94,405.99,6.36,0.61
9.44,293.72,409.22,6.812,0.617
9.44,152.35,409.67,6.267,0.599
9.44,253.46,409.65,5.57,0.552
9.44,42.36,411.15,6.35,0.61
9.44,191.01,411.17,6.594,0.643
9.44,283.26,412.37,5.671,0.577
9.44,413.31,414.09,5.809,0.587
9.44,192.19,417.4,6.226,0.61
9.44,254.22,418.06,6.995,0.623
9.44,291.79,418.01,6.205,0.611
9.44,258.91,419.31,7.026,0.646
9.44,255.28,422.62,5.72,0.581
9.44,173.84,424.07,6.112,0.595
9.44,174.0,427.24,6.39,0.612
9.44,255.74,431.7,6.152,0.603
9.44,72.01,432.22,6.53,0.634
9.44,174.87,435.9,5.982,0.593
9.44,429.61,439.43,6.247,0.605
9.44,257.74,440.22,5.894,0.59
9.44,176.02,441.37,6.701,0.641
18.89,190.02,2.13,6.311,0.605
18.89,102.81,2.31,5.983,0.593
18.89,196.82,2.35,6.116,0.596
18.89,223.68,3.31,6.585,0.641
18.89,271.4,3.21,5.526,0.538
18.89,222.5,5.9,6.708,0.64
18.89,266.13,5.99,5.909,0.591
18.89,367.35,6.52,5.297,0.457
18.89,386.47,7.04,6.457,0.617
18.89,136.71,7.38,5.611,0.565
18.89,2.79,8.69,6.546,0.635
18.89,266.17,8.66,5.913,0.591
18.89,409.73,8.92,6.356,0.61
18.89,266.22,12.0,6.267,0.599
18.89,219.8,13.0,6.646,0.648
18.89,357.54,13.33,6.148,0.602
18.89,370.45,13.19,6.104,0.595
18.89,133.88,13.74,6.43,0.611
18.89,343.85,14.98,5.635,0.57
18.89,218.78,16.42,5.68,0.578
18.89,283.1,17.97,5.93,0.592
18.89,424.7,18.9,5.803,0.586
18.89,187.99,21.29,6.225,0.61
18.89,374.58,21.24,6.199,0.612
18.89,384.11,22.79,6.583,0.641
18.89,216.8,23.73,6.166,0.607
18.89,365.86,27.01,6.677,0.644
18.89,138.53,27.42,6.092,0.593
18.89,283.89,29.3,5.304,0.46
18.89,59.49,30.09,5.964,0.593
18.89,380.01,32.83,6.04,0.589
18.89,412.21,34.79,6.425,0.611
18.89,383.1,35.92,6.189,0.611
18.89,367.42,37.81,5.796,0.586
18.89,28.4,41.55,5.967,0.593
18.89,202.52,41.48,6.677,0.644
18.89,203.02,44.9,6.266,0.599
18.89,267.69,45.48,6.286,0.6
18.89,124.78,48.63,6.263,0.6
18.89,343.45,49.59,6.223,0.61
18.89,207.71,54.54,6.96,0.606
18.89,268.24,56.18,6.642,0.648
18.89,129.73,59.02,6.098,0.594
18.89,206.19,60.77,6.33,0.608
18.89,8.38,62.54,6.305,0.603
18.89,415.66,62.62,6.011,0.592
18.89,184.4,65.47,6.253,0.602
18.89,73.89,66.01,5.967,0.593
18.89,277.74,67.34,6.233,0.609
18.89,183.99,69.84,6.439,0.613
18.89,285.96,69.99,5.924,0.591
18.89,354.34,70.21,6.012,0.592
18.89,136.84,70.71,6.525,0.633
18.89,377.41,70.7,6.12,0.597
18.89,74.81,72.57,6.293,0.601
18.89,183.77,73.89,6.138,0.6
18.89,286.54,75.39,6.594,0.643
18.89,376.1,75.69,6.228,0.61
18.89,273.63,76.7,5.324,0.468
18.89,95.26,77.22,5.816,0.587
18.89,401.71,78.33,5.917,0.591
18.89,434.65,78.6,6.143,0.601
18.89,377.08,80.41,6.397,0.612
18.89,104.11,81.9,6.309,0.604
18.89,199.64,81.81,6.816,0.616
18.89,9.87,82.34,6.185,0.611
18.89,269.67,85.19,5.903,0.591
18.89,269.85,88.9,6.169,0.608
18.89,10.59,89.18,5.811,0.587
18.89,165.81,89.33,6.805,0.62
18.89,336.17,89.58,6.625,0.647
18.89,181.53,91.51,7.409,3.091
18.89,10.87,92.09,6.619,0.646
18.89,270.02,92.06,6.013,0.592
18.89,124.75,93.09,6.69,0.642
18.89,419.64,94.12,6.649,0.647
18.89,274.23,94.51,6.337,0.609
18.89,11.09,96.75,7.106,0.913
18.89,369.33,97.14,6.703,0.641
18.89,410.83,97.52,6.223,0.61
18.89,11.31,100.7,6.764,0.63
18.89,137.93,101.14,7.193,1.784
18.89,141.04,101.34,7.353,2.859
18.89,270.43,102.18,6.807,0.619
18.89,144.11,103.57,7.308,2.645
18.89,204.69,104.13,7.653,3.987
18.89,212.14,110.92,7.075,0.715
18.89,421.97,111.57,6.81,0.618
18.89,162.17,113.36,6.832,0.61
18.89,205.46,114.32,7.119,1.157
18.89,274.75,114.2,6.775,0.627
18.89,378.39,115.07,6.233,0.609
18.89,422.34,114.81,6.884,0.598
18.89,419.38,115.67,6.137,0.599
18.89,388.12,117.2,6.731,0.635
18.89,288.92,119.49,7.258,2.367
18.89,275.2,123.67,6.513,0.632
18.89,181.87,123.88,7.194,1.801
18.89,271.7,125.76,7.167,1.549
18.89,360.39,129.83,6.829,0.611
18.89,424.12,130.99,6.076,0.591
18.89,426.85,130.79,5.873,0.589
18.89,196.92,132.01,7.068,0.69
18.89,368.3,132.78,5.996,0.593
18.89,97.97,133.7,6.715,0.639
18.89,272.52,141.84,6.664,0.646
18.89,395.99,142.33,6.737,0.634
18.89,177.46,142.6,7.023,0.644
18.89,216.85,142.82,6.935,0.595
18.89,275.77,147.14,6.68,0.644
18.89,217.64,148.14,6.194,0.612
18.89,339.27,148.54,5.958,0.593
18.89,15.98,149.0,5.889,0.59
18.89,272.78,152.64,6.468,0.62
18.89,16.41,152.99,6.213,0.61
18.89,439.24,158.27,6.223,0.61
18.89,401.12,159.29,6.97,0.613
18.89,209.83,163.15,7.156,1.464
18.89,151.0,163.49,6.73,0.635
18.89,273.94,163.9,6.379,0.612
